string_ubigeo_descripcion,int_ubigeo_departamento,int_ubigeo_provincia,int_ubigeo_distrito,int_ubigeo_dependecia,float_ubigeo_latitud,float_ubigeo_longitud
TALAVERA,0,0,1,54,-16.399,-71.5364
TUMAY HUARACA,0,0,1,54,-16.399,-71.5364
TURPO,0,0,1,54,-16.399,-71.5364
KAQUIABAMBA,0,0,1,54,-16.399,-71.5364
ANTABAMBA,0,0,1,55,-16.399,-71.5364
EL ORO,0,0,1,55,-16.399,-71.5364
HUAQUIRCA,0,0,1,55,-16.399,-71.5364
JUAN ESPINOZA MEDRANO,0,0,1,55,-16.399,-71.5364
OROPESA,0,0,1,55,-16.399,-71.5364
PACHACONAS,0,0,1,55,-16.399,-71.5364
SABAINO,0,0,1,55,-16.399,-71.5364
CHALHUANCA,0,0,1,56,-16.399,-71.5364
CAPAYA,0,0,1,56,-16.399,-71.5364
CARAYBAMBA,0,0,1,56,-16.399,-71.5364
CHAPIMARCA,0,0,1,56,-16.399,-71.5364
COLCABAMBA,0,0,1,56,-16.399,-71.5364
COTARUSE,0,0,1,56,-16.399,-71.5364
HUAYLLO,0,0,1,56,-16.399,-71.5364
JUSTO APU SAHUARAURA,0,0,1,56,-16.399,-71.5364
LUCRE,0,0,1,56,-16.399,-71.5364
POCOHUANCA,0,0,1,56,-16.399,-71.5364
SAN JUAN DE CHACÑA,0,0,1,56,-16.399,-71.5364
SAÑAYCA,0,0,1,56,-16.399,-71.5364
SORAYA,0,0,1,56,-16.399,-71.5364
TAPAIRIHUA,0,0,1,56,-16.399,-71.5364
TINTAY,0,0,1,56,-16.399,-71.5364
TORAYA,0,0,1,56,-16.399,-71.5364
YANACA,0,0,1,56,-16.399,-71.5364
TAMBOBAMBA,0,0,1,57,-16.399,-71.5364
COTABAMBAS,0,0,1,57,-16.399,-71.5364
COYLLURQUI,0,0,1,57,-16.399,-71.5364
HAQUIRA,0,0,1,57,-16.399,-71.5364
MARA,0,0,1,57,-16.399,-71.5364
CHALLHUAHUACHO,0,0,1,57,-16.399,-71.5364
CHINCHEROS,0,0,1,58,-16.399,-71.5364
ANCO-HUALLO,0,0,1,58,-16.399,-71.5364
COCHARCAS,0,0,1,58,-16.399,-71.5364
HUACCANA,0,0,1,58,-16.399,-71.5364
OCOBAMBA,0,0,1,58,-16.399,-71.5364
ONGOY,0,0,1,58,-16.399,-71.5364
URANMARCA,0,0,1,58,-16.399,-71.5364
RANRACANCHA,0,0,1,58,-16.399,-71.5364
CHUQUIBAMBILLA,0,0,1,59,-16.399,-71.5364
CURPAHUASI,0,0,1,59,-16.399,-71.5364
GAMARRA,0,0,1,59,-16.399,-71.5364
HUAYLLATI,0,0,1,59,-16.399,-71.5364
MAMARA,0,0,1,59,-16.399,-71.5364
MICAELA BASTIDAS,0,0,1,59,-16.399,-71.5364
PATAYPAMPA,0,0,1,59,-16.399,-71.5364
PROGRESO,0,0,1,59,-16.399,-71.5364
SAN ANTONIO,0,0,1,59,-16.399,-71.5364
SANTA ROSA,0,0,1,59,-16.399,-71.5364
TURPAY,0,0,1,59,-16.399,-71.5364
VILCABAMBA,0,0,1,59,-16.399,-71.5364
VIRUNDO,0,0,1,59,-16.399,-71.5364
CURASCO,0,0,1,59,-16.399,-71.5364
AREQUIPA,0,0,1,60,-16.399,-71.5364
ALTO SELVA ALEGRE,0,0,1,60,-16.399,-71.5364
CAYMA,0,0,1,60,-16.399,-71.5364
CERRO COLORADO,0,0,1,60,-16.399,-71.5364
CHARACATO,0,0,1,60,-16.399,-71.5364
CHIGUATA,0,0,1,60,-16.399,-71.5364
JACOBO HUNTER,0,0,1,60,-16.399,-71.5364
LA JOYA,0,0,1,60,-16.399,-71.5364
MARIANO MELGAR,0,0,1,60,-16.399,-71.5364
MIRAFLORES,0,0,1,60,-16.399,-71.5364
MOLLEBAYA,0,0,1,60,-16.399,-71.5364
PAUCARPATA,0,0,1,60,-16.399,-71.5364
POCSI,0,0,1,60,-16.399,-71.5364
POLOBAYA,0,0,1,60,-16.399,-71.5364
QUEQUEÑA,0,0,1,60,-16.399,-71.5364
SABANDIA,0,0,1,60,-16.399,-71.5364
SACHACA,0,0,1,60,-16.399,-71.5364
SAN JUAN DE SIGUAS,0,0,1,60,-16.399,-71.5364
SAN JUAN DE TARUCANI,0,0,1,60,-16.399,-71.5364
SANTA ISABEL DE SIGUAS,0,0,1,60,-16.399,-71.5364
SANTA RITA DE SIGUAS,0,0,1,60,-16.399,-71.5364
SOCABAYA,0,0,1,60,-16.399,-71.5364
TIABAYA,0,0,1,60,-16.399,-71.5364
UCHUMAYO,0,0,1,60,-16.399,-71.5364
VITOR ,0,0,1,60,-16.399,-71.5364
YANAHUARA,0,0,1,60,-16.399,-71.5364
YARABAMBA,0,0,1,60,-16.399,-71.5364
YURA,0,0,1,60,-16.399,-71.5364
JOSE LUIS BUSTAMANTE Y RIVERO,0,0,1,60,-16.399,-71.5364
"CAMANA	",0,0,1,61,-16.399,-71.5364
JOSE MARIA QUIMPER,0,0,1,61,-16.399,-71.5364
MARIANO NICOLAS VALCARCEL,0,0,1,61,-16.399,-71.5364
MARISCAL CACERES,0,0,1,61,-16.399,-71.5364
NICOLAS DE PIEROLA,0,0,1,61,-16.399,-71.5364
OCOÑA,0,0,1,61,-16.399,-71.5364
QUILCA,0,0,1,61,-16.399,-71.5364
SAMUEL PASTOR,0,0,1,61,-16.399,-71.5364
CARAVELI,0,0,1,62,-16.399,-71.5364
ACARI,0,0,1,62,-16.399,-71.5364
ATICO,0,0,1,62,-16.399,-71.5364
ATIQUIPA,0,0,1,62,-16.399,-71.5364
BELLA UNION,0,0,1,62,-16.399,-71.5364
CAHUACHO,0,0,1,62,-16.399,-71.5364
CHALA,0,0,1,62,-16.399,-71.5364
CHAPARRA,0,0,1,62,-16.399,-71.5364
HUANUHUANU,0,0,1,62,-16.399,-71.5364
JAQUI,0,0,1,62,-16.399,-71.5364
LOMAS,0,0,1,62,-16.399,-71.5364
QUICACHA,0,0,1,62,-16.399,-71.5364
YAUCA,0,0,1,62,-16.399,-71.5364
APLAO,0,0,1,63,-16.399,-71.5364
ANDAGUA,0,0,1,63,-16.399,-71.5364
AYO,0,0,1,63,-16.399,-71.5364
CHACHAS,0,0,1,63,-16.399,-71.5364
CHILCAYMARCA,0,0,1,63,-16.399,-71.5364
CHOCO,0,0,1,63,-16.399,-71.5364
HUANCARQUI,0,0,1,63,-16.399,-71.5364
MACHAGUAY,0,0,1,63,-16.399,-71.5364
ORCOPAMPA,0,0,1,63,-16.399,-71.5364
PAMPACOLCA,0,0,1,63,-16.399,-71.5364
TIPAN,0,0,1,63,-16.399,-71.5364
UÑON,0,0,1,63,-16.399,-71.5364
URACA,0,0,1,63,-16.399,-71.5364
VIRACO,0,0,1,63,-16.399,-71.5364
CHIVAY,0,0,1,64,-16.399,-71.5364
ACHOMA,0,0,1,64,-16.399,-71.5364
CABANACONDE,0,0,1,64,-16.399,-71.5364
CALLALLI,0,0,1,64,-16.399,-71.5364
CAYLLOMA,0,0,1,64,-16.399,-71.5364
COPORAQUE,0,0,1,64,-16.399,-71.5364
HUAMBO,0,0,1,64,-16.399,-71.5364
HUANCA,0,0,1,64,-16.399,-71.5364
ICHUPAMPA,0,0,1,64,-16.399,-71.5364
LARI,0,0,1,64,-16.399,-71.5364
LLUTA,0,0,1,64,-16.399,-71.5364
MACA,0,0,1,64,-16.399,-71.5364
MADRIGAL,0,0,1,64,-16.399,-71.5364
SAN ANTONIO DE CHUCA,0,0,1,64,-16.399,-71.5364
SIBAYO,0,0,1,64,-16.399,-71.5364
TAPAY,0,0,1,64,-16.399,-71.5364
TISCO,0,0,1,64,-16.399,-71.5364
TUTI,0,0,1,64,-16.399,-71.5364
YANQUE,0,0,1,64,-16.399,-71.5364
MAJES,0,0,1,64,-16.399,-71.5364
CHUQUIBAMBA,0,0,1,65,-16.399,-71.5364
ANDARAY,0,0,1,65,-16.399,-71.5364
CAYARANI,0,0,1,65,-16.399,-71.5364
CHICHAS,0,0,1,65,-16.399,-71.5364
IRAY,0,0,1,65,-16.399,-71.5364
RIO GRANDE,0,0,1,65,-16.399,-71.5364
SALAMANCA,0,0,1,65,-16.399,-71.5364
YANAQUIHUA,0,0,1,65,-16.399,-71.5364
MOLLENDO,0,0,1,66,-16.399,-71.5364
COCACHACRA,0,0,1,66,-16.399,-71.5364
DEAN VALDIVIA,0,0,1,66,-16.399,-71.5364
ISLAY,0,0,1,66,-16.399,-71.5364
MEJIA,0,0,1,66,-16.399,-71.5364
PUNTA DE BOMBON,0,0,1,66,-16.399,-71.5364
COTAHUASI,0,0,1,67,-16.399,-71.5364
ALCA,0,0,1,67,-16.399,-71.5364
CHARCANA,0,0,1,67,-16.399,-71.5364
HUAYNACOTAS,0,0,1,67,-16.399,-71.5364
PAMPAMARCA,0,0,1,67,-16.399,-71.5364
PUYCA,0,0,1,67,-16.399,-71.5364
QUECHUALLA,0,0,1,67,-16.399,-71.5364
SAYLA,0,0,1,67,-16.399,-71.5364
TAURIA,0,0,1,67,-16.399,-71.5364
TOMEPAMPA,0,0,1,67,-16.399,-71.5364
TORO,0,0,1,67,-16.399,-71.5364
AYACUCHO,0,0,1,68,-16.399,-71.5364
ACOCRO,0,0,1,68,-16.399,-71.5364
ACOS VINCHOS,0,0,1,68,-16.399,-71.5364
CARMEN ALTO,0,0,1,68,-16.399,-71.5364
CHIARA,0,0,1,68,-16.399,-71.5364
OCROS,0,0,1,68,-16.399,-71.5364
PACAYCASA,0,0,1,68,-16.399,-71.5364
QUINUA,0,0,1,68,-16.399,-71.5364
SAN JOSE DE TICLLAS,0,0,1,68,-16.399,-71.5364
SAN JUAN BAUTISTA,0,0,1,68,-16.399,-71.5364
SANTIAGO DE PISCHA,0,0,1,68,-16.399,-71.5364
SOCOS,0,0,1,68,-16.399,-71.5364
TAMBILLO,0,0,1,68,-16.399,-71.5364
VINCHOS,0,0,1,68,-16.399,-71.5364
JESUS NAZARENO,0,0,1,68,-16.399,-71.5364
CANGALLO,0,0,1,69,-16.399,-71.5364
CHUSCHI,0,0,1,69,-16.399,-71.5364
LOS MOROCHUCOS,0,0,1,69,-16.399,-71.5364
MARIA PARADO DE BELLIDO,0,0,1,69,-16.399,-71.5364
PARAS,0,0,1,69,-16.399,-71.5364
TOTOS,0,0,1,69,-16.399,-71.5364
SANCOS,0,0,1,70,-16.399,-71.5364
CARAPO,0,0,1,70,-16.399,-71.5364
SACSAMARCA,0,0,1,70,-16.399,-71.5364
SANTIAGO DE LUCANAMARCA,0,0,1,70,-16.399,-71.5364
HUANTA,0,0,1,71,-16.399,-71.5364
AYAHUANCO,0,0,1,71,-16.399,-71.5364
HUAMANGUILLA,0,0,1,71,-16.399,-71.5364
IGUAIN,0,0,1,71,-16.399,-71.5364
LURICOCHA,0,0,1,71,-16.399,-71.5364
SANTILLANA,0,0,1,71,-16.399,-71.5364
SIVIA,0,0,1,71,-16.399,-71.5364
LLOCHEGUA,0,0,1,71,-16.399,-71.5364
SAN MIGUEL,0,0,1,72,-16.399,-71.5364
ANCO,0,0,1,72,-16.399,-71.5364
AYNA,0,0,1,72,-16.399,-71.5364
CHILCAS,0,0,1,72,-16.399,-71.5364
CHUNGUI,0,0,1,72,-16.399,-71.5364
LUIS CARRANZA,0,0,1,72,-16.399,-71.5364
SANTA ROSA,0,0,1,72,-16.399,-71.5364
TAMBO,0,0,1,72,-16.399,-71.5364
PUQUIO,0,0,1,73,-16.399,-71.5364
AUCARA,0,0,1,73,-16.399,-71.5364
CABANA,0,0,1,73,-16.399,-71.5364
CARMEN SALCEDO,0,0,1,73,-16.399,-71.5364
CHAVIÑA,0,0,1,73,-16.399,-71.5364
CHIPAO,0,0,1,73,-16.399,-71.5364
HUAC-HUAS,0,0,1,73,-16.399,-71.5364
LARAMATE,0,0,1,73,-16.399,-71.5364
LEONCIO PRADO,0,0,1,73,-16.399,-71.5364
LLAUTA,0,0,1,73,-16.399,-71.5364
LUCANAS,0,0,1,73,-16.399,-71.5364
OCAÑA,0,0,1,73,-16.399,-71.5364
OTOCA,0,0,1,73,-16.399,-71.5364
SAISA,0,0,1,73,-16.399,-71.5364
SAN CRISTOBAL,0,0,1,73,-16.399,-71.5364
SAN JUAN,0,0,1,73,-16.399,-71.5364
SAN PEDRO,0,0,1,73,-16.399,-71.5364
SAN PEDRO DE PALCO,0,0,1,73,-16.399,-71.5364
SANCOS,0,0,1,73,-16.399,-71.5364
SANTA ANA DE HUAYCAHUACHO,0,0,1,73,-16.399,-71.5364
SANTA LUCIA,0,0,1,73,-16.399,-71.5364
CORACORA,0,0,1,74,-16.399,-71.5364
CHUMPI,0,0,1,74,-16.399,-71.5364
CORONEL CASTAÑEDA,0,0,1,74,-16.399,-71.5364
PACAPAUSA,0,0,1,74,-16.399,-71.5364
PULLO,0,0,1,74,-16.399,-71.5364
PUYUSCA,0,0,1,74,-16.399,-71.5364
SAN FRANCISCO DE RAVACAYCO,0,0,1,74,-16.399,-71.5364
UPAHUACHO,0,0,1,74,-16.399,-71.5364
PAUSA,0,0,1,75,-16.399,-71.5364
COLTA,0,0,1,75,-16.399,-71.5364
CORCULLA,0,0,1,75,-16.399,-71.5364
LAMPA,0,0,1,75,-16.399,-71.5364
MARCABAMBA,0,0,1,75,-16.399,-71.5364
OYOLO,0,0,1,75,-16.399,-71.5364
PARARCA,0,0,1,75,-16.399,-71.5364
SAN JAVIER DE ALPABAMBA,0,0,1,75,-16.399,-71.5364
SAN JOSE DE USHUA,0,0,1,75,-16.399,-71.5364
SARA SARA,0,0,1,75,-16.399,-71.5364
QUEROBAMBA,0,0,1,76,-16.399,-71.5364
BELEN,0,0,1,76,-16.399,-71.5364
CHALCOS,0,0,1,76,-16.399,-71.5364
CHILCAYOC,0,0,1,76,-16.399,-71.5364
HUACAÑA,0,0,1,76,-16.399,-71.5364
MORCOLLA,0,0,1,76,-16.399,-71.5364
PAICO,0,0,1,76,-16.399,-71.5364
SAN PEDRO DE LARCAY,0,0,1,76,-16.399,-71.5364
SAN SALVADOR DE QUIJE,0,0,1,76,-16.399,-71.5364
SANTIAGO DE PAUCARAY,0,0,1,76,-16.399,-71.5364
SORAS,0,0,1,76,-16.399,-71.5364
HUANCAPI,0,0,1,77,-16.399,-71.5364
ALCAMENCA,0,0,1,77,-16.399,-71.5364
APONGO,0,0,1,77,-16.399,-71.5364
ASQUIPATA,0,0,1,77,-16.399,-71.5364
CANARIA,0,0,1,77,-16.399,-71.5364
CAYARA,0,0,1,77,-16.399,-71.5364
COLCA,0,0,1,77,-16.399,-71.5364
HUAMANQUIQUIA,0,0,1,77,-16.399,-71.5364
HUANCARAYLLA,0,0,1,77,-16.399,-71.5364
HUAYA,0,0,1,77,-16.399,-71.5364
SARHUA,0,0,1,77,-16.399,-71.5364
VILCANCHOS,0,0,1,77,-16.399,-71.5364
VILCAS HUAMAN,0,0,1,78,-16.399,-71.5364
ACCOMARCA,0,0,1,78,-16.399,-71.5364
CARHUANCA,0,0,1,78,-16.399,-71.5364
CONCEPCION,0,0,1,78,-16.399,-71.5364
HUAMBALPA,0,0,1,78,-16.399,-71.5364
INDEPENDENCIA,0,0,1,78,-16.399,-71.5364
SAURAMA,0,0,1,78,-16.399,-71.5364
VISCHONGO,0,0,1,78,-16.399,-71.5364
CAJAMARCA,0,0,1,79,-16.399,-71.5364
ASUNCION,0,0,1,79,-16.399,-71.5364
CHETILLA,0,0,1,79,-16.399,-71.5364
COSPAN,0,0,1,79,-16.399,-71.5364
ENCAÑADA,0,0,1,79,-16.399,-71.5364
JESUS,0,0,1,79,-16.399,-71.5364
LLACANORA,0,0,1,79,-16.399,-71.5364
LOS BAÑOS DEL INCA,0,0,1,79,-16.399,-71.5364
MAGDALENA,0,0,1,79,-16.399,-71.5364
MATARA,0,0,1,79,-16.399,-71.5364
NAMORA,0,0,1,79,-16.399,-71.5364
SAN JUAN,0,0,1,79,-16.399,-71.5364
CAJABAMBA,0,0,1,80,-16.399,-71.5364
CACHACHI,0,0,1,80,-16.399,-71.5364
CONDEBAMBA,0,0,1,80,-16.399,-71.5364
SITACOCHA,0,0,1,80,-16.399,-71.5364
CELENDIN,0,0,1,81,-16.399,-71.5364
CHUMUCH,0,0,1,81,-16.399,-71.5364
CORTEGANA,0,0,1,81,-16.399,-71.5364
HUASMIN,0,0,1,81,-16.399,-71.5364
JORGE CHAVEZ,0,0,1,81,-16.399,-71.5364
JOSE GALVEZ,0,0,1,81,-16.399,-71.5364
MIGUEL IGLESIAS,0,0,1,81,-16.399,-71.5364
OXAMARCA,0,0,1,81,-16.399,-71.5364
SOROCHUCO,0,0,1,81,-16.399,-71.5364
SUCRE,0,0,1,81,-16.399,-71.5364
UTCO,0,0,1,81,-16.399,-71.5364
LA LIBERTAD DE PALLAN,0,0,1,81,-16.399,-71.5364
CHOTA,0,0,1,82,-16.399,-71.5364
ANGUIA,0,0,1,82,-16.399,-71.5364
CHADIN,0,0,1,82,-16.399,-71.5364
CHIGUIRIP,0,0,1,82,-16.399,-71.5364
CHIMBAN,0,0,1,82,-16.399,-71.5364
CHOROPAMPA,0,0,1,82,-16.399,-71.5364
COCHABAMBA,0,0,1,82,-16.399,-71.5364
CONCHAN,0,0,1,82,-16.399,-71.5364
HUAMBOS,0,0,1,82,-16.399,-71.5364
LAJAS,0,0,1,82,-16.399,-71.5364
LLAMA,0,0,1,82,-16.399,-71.5364
MIRACOSTA,0,0,1,82,-16.399,-71.5364
PACCHA,0,0,1,82,-16.399,-71.5364
PION,0,0,1,82,-16.399,-71.5364
QUEROCOTO,0,0,1,82,-16.399,-71.5364
SAN JUAN DE LICUPIS,0,0,1,82,-16.399,-71.5364
TACABAMBA,0,0,1,82,-16.399,-71.5364
TOCMOCHE,0,0,1,82,-16.399,-71.5364
CHALAMARCA,0,0,1,82,-16.399,-71.5364
CONTUMAZA,0,0,1,83,-16.399,-71.5364
CHILETE,0,0,1,83,-16.399,-71.5364
CUPISNIQUE,0,0,1,83,-16.399,-71.5364
GUZMANGO,0,0,1,83,-16.399,-71.5364
SAN BENITO,0,0,1,83,-16.399,-71.5364
SANTA CRUZ DE TOLED,0,0,1,83,-16.399,-71.5364
TANTARICA,0,0,1,83,-16.399,-71.5364
YONAN,0,0,1,83,-16.399,-71.5364
CUTERVO,0,0,1,84,-16.399,-71.5364
CALLAYUC,0,0,1,84,-16.399,-71.5364
CHOROS,0,0,1,84,-16.399,-71.5364
CUJILLO,0,0,1,84,-16.399,-71.5364
LA RAMADA,0,0,1,84,-16.399,-71.5364
PIMPINGOS,0,0,1,84,-16.399,-71.5364
QUEROCOTILLO,0,0,1,84,-16.399,-71.5364
SAN ANDRES DE CUTERVO,0,0,1,84,-16.399,-71.5364
SAN JUAN DE CUTERVO,0,0,1,84,-16.399,-71.5364
SAN LUIS DE LUCMA,0,0,1,84,-16.399,-71.5364
SANTA CRUZ,0,0,1,84,-16.399,-71.5364
SANTO DOMINGO DE LA CAPILLA,0,0,1,84,-16.399,-71.5364
SANTO TOMAS,0,0,1,84,-16.399,-71.5364
SOCOTA,0,0,1,84,-16.399,-71.5364
TORIBIO CASANOVA,0,0,1,84,-16.399,-71.5364
BAMBAMARCA,0,0,1,85,-16.399,-71.5364
CHUGUR,0,0,1,85,-16.399,-71.5364
HUALGAYOC,0,0,1,85,-16.399,-71.5364
JAEN,0,0,1,86,-16.399,-71.5364
BELLAVISTA,0,0,1,86,-16.399,-71.5364
CHONTALI,0,0,1,86,-16.399,-71.5364
COLASAY,0,0,1,86,-16.399,-71.5364
HUABAL,0,0,1,86,-16.399,-71.5364
LAS PIRIAS,0,0,1,86,-16.399,-71.5364
POMAHUACA,0,0,1,86,-16.399,-71.5364
PUCARA,0,0,1,86,-16.399,-71.5364
SALLIQUE,0,0,1,86,-16.399,-71.5364
SAN FELIPE,0,0,1,86,-16.399,-71.5364
SAN JOSE DEL ALTO,0,0,1,86,-16.399,-71.5364
SANTA ROSA,0,0,1,86,-16.399,-71.5364
SAN IGNACIO,0,0,1,87,-16.399,-71.5364
CHIRINOS,0,0,1,87,-16.399,-71.5364
HUARANGO,0,0,1,87,-16.399,-71.5364
LA COIPA,0,0,1,87,-16.399,-71.5364
NAMBALLE,0,0,1,87,-16.399,-71.5364
SAN JOSE DE LOURDES,0,0,1,87,-16.399,-71.5364
TABACONAS,0,0,1,87,-16.399,-71.5364
PEDRO GALVEZ,0,0,1,88,-16.399,-71.5364
CHANCAY,0,0,1,88,-16.399,-71.5364
EDUARDO VILLANUEVA,0,0,1,88,-16.399,-71.5364
GREGORIO PITA,0,0,1,88,-16.399,-71.5364
ICHOCAN,0,0,1,88,-16.399,-71.5364
JOSE MANUEL QUIROZ,0,0,1,88,-16.399,-71.5364
JOSE SABOGAL,0,0,1,88,-16.399,-71.5364
SAN MIGUEL,0,0,1,89,-16.399,-71.5364
BOLIVAR,0,0,1,89,-16.399,-71.5364
CALQUIS,0,0,1,89,-16.399,-71.5364
CATILLUC,0,0,1,89,-16.399,-71.5364
EL PRADO,0,0,1,89,-16.399,-71.5364
LA FLORIDA,0,0,1,89,-16.399,-71.5364
LLAPA,0,0,1,89,-16.399,-71.5364
NANCHOC,0,0,1,89,-16.399,-71.5364
NIEPOS,0,0,1,89,-16.399,-71.5364
SAN GREGORIO,0,0,1,89,-16.399,-71.5364
SAN SILVESTRE DE COCHAN,0,0,1,89,-16.399,-71.5364
TONGOD,0,0,1,89,-16.399,-71.5364
UNION AGUA BLANCA,0,0,1,89,-16.399,-71.5364
SAN PABLO,0,0,1,90,-16.399,-71.5364
SAN BERNARDINO,0,0,1,90,-16.399,-71.5364
SAN LUIS,0,0,1,90,-16.399,-71.5364
TUMBADEN,0,0,1,90,-16.399,-71.5364
SANTA CRUZ,0,0,1,91,-16.399,-71.5364
ANDABAMBA,0,0,1,91,-16.399,-71.5364
CATACHE,0,0,1,91,-16.399,-71.5364
CHANCAYBAÑOS,0,0,1,91,-16.399,-71.5364
LA ESPERANZA,0,0,1,91,-16.399,-71.5364
NINABAMBA,0,0,1,91,-16.399,-71.5364
PULAN,0,0,1,91,-16.399,-71.5364
SAUCEPAMPA,0,0,1,91,-16.399,-71.5364
SEXI,0,0,1,91,-16.399,-71.5364
UTICYACU,0,0,1,91,-16.399,-71.5364
YAUYUCAN,0,0,1,91,-16.399,-71.5364
CUSCO,0,0,1,92,-16.399,-71.5364
CCORCA,0,0,1,92,-16.399,-71.5364
POROY,0,0,1,92,-16.399,-71.5364
SAN JERONIMO,0,0,1,92,-16.399,-71.5364
SAN SEBASTIAN,0,0,1,92,-16.399,-71.5364
SANTIAGO,0,0,1,92,-16.399,-71.5364
SAYLLA,0,0,1,92,-16.399,-71.5364
WANCHAQ,0,0,1,92,-16.399,-71.5364
ACOMAYO,0,0,1,93,-16.399,-71.5364
ACOPIA,0,0,1,93,-16.399,-71.5364
ACOS,0,0,1,93,-16.399,-71.5364
MOSOC LLACTA,0,0,1,93,-16.399,-71.5364
POMACANCHI,0,0,1,93,-16.399,-71.5364
RONDOCAN,0,0,1,93,-16.399,-71.5364
SANGARARA,0,0,1,93,-16.399,-71.5364
ANTA,0,0,1,94,-16.399,-71.5364
ANCAHUASI,0,0,1,94,-16.399,-71.5364
CACHIMAYO,0,0,1,94,-16.399,-71.5364
CHINCHAYPUJIO,0,0,1,94,-16.399,-71.5364
HUAROCONDO,0,0,1,94,-16.399,-71.5364
LIMATAMBO,0,0,1,94,-16.399,-71.5364
MOLLEPATA,0,0,1,94,-16.399,-71.5364
PUCYURA,0,0,1,94,-16.399,-71.5364
ZURITE,0,0,1,94,-16.399,-71.5364
CALCA,0,0,1,95,-16.399,-71.5364
COYA,0,0,1,95,-16.399,-71.5364
LAMAY,0,0,1,95,-16.399,-71.5364
LARES,0,0,1,95,-16.399,-71.5364
PISAC,0,0,1,95,-16.399,-71.5364
SAN SALVADOR,0,0,1,95,-16.399,-71.5364
TARAY,0,0,1,95,-16.399,-71.5364
YANATILE,0,0,1,95,-16.399,-71.5364
YANAOCA,0,0,1,96,-16.399,-71.5364
CHECCA,0,0,1,96,-16.399,-71.5364
KUNTURKANKI,0,0,1,96,-16.399,-71.5364
LANGUI,0,0,1,96,-16.399,-71.5364
LAYO,0,0,1,96,-16.399,-71.5364
PAMPAMARCA,0,0,1,96,-16.399,-71.5364
QUEHUE,0,0,1,96,-16.399,-71.5364
TUPAC AMARU,0,0,1,96,-16.399,-71.5364
SICUANI,0,0,1,97,-16.399,-71.5364
CHECACUPE,0,0,1,97,-16.399,-71.5364
COMBAPATA,0,0,1,97,-16.399,-71.5364
MARANGANI,0,0,1,97,-16.399,-71.5364
PITUMARCA,0,0,1,97,-16.399,-71.5364
SAN PABLO,0,0,1,97,-16.399,-71.5364
SAN PEDRO,0,0,1,97,-16.399,-71.5364
TINTA,0,0,1,97,-16.399,-71.5364
SANTO TOMAS,0,0,1,98,-16.399,-71.5364
CAPACMARCA,0,0,1,98,-16.399,-71.5364
CHAMACA,0,0,1,98,-16.399,-71.5364
COLQUEMARCA,0,0,1,98,-16.399,-71.5364
LIVITACA,0,0,1,98,-16.399,-71.5364
LLUSCO,0,0,1,98,-16.399,-71.5364
QUIÑOTA,0,0,1,98,-16.399,-71.5364
VELILLE,0,0,1,98,-16.399,-71.5364
ESPINAR,0,0,1,99,-16.399,-71.5364
CONDOROMA,0,0,1,99,-16.399,-71.5364
COPORAQUE,0,0,1,99,-16.399,-71.5364
OCORURO,0,0,1,99,-16.399,-71.5364
PALLPATA,0,0,1,99,-16.399,-71.5364
PICHIGUA,0,0,1,99,-16.399,-71.5364
SUYCKUTAMBO 3/,0,0,1,99,-16.399,-71.5364
ALTO PICHIGUA,0,0,1,99,-16.399,-71.5364
SANTA ANA,0,0,1,100,-16.399,-71.5364
ECHARATE,0,0,1,100,-16.399,-71.5364
HUAYOPATA /1,0,0,1,100,-16.399,-71.5364
MARANURA,0,0,1,100,-16.399,-71.5364
OCOBAMBA  /2,0,0,1,100,-16.399,-71.5364
QUELLOUNO,0,0,1,100,-16.399,-71.5364
KIMBIRI,0,0,1,100,-16.399,-71.5364
SANTA TERESA,0,0,1,100,-16.399,-71.5364
VILCABAMBA,0,0,1,100,-16.399,-71.5364
PICHARI,0,0,1,100,-16.399,-71.5364
PARURO,0,0,1,101,-16.399,-71.5364
ACCHA,0,0,1,101,-16.399,-71.5364
CCAPI,0,0,1,101,-16.399,-71.5364
COLCHA,0,0,1,101,-16.399,-71.5364
HUANOQUITE,0,0,1,101,-16.399,-71.5364
OMACHA,0,0,1,101,-16.399,-71.5364
PACCARITAMBO,0,0,1,101,-16.399,-71.5364
PILLPINTO,0,0,1,101,-16.399,-71.5364
YAURISQUE,0,0,1,101,-16.399,-71.5364
PAUCARTAMBO,0,0,1,102,-16.399,-71.5364
CAICAY,0,0,1,102,-16.399,-71.5364
CHALLABAMBA,0,0,1,102,-16.399,-71.5364
COLQUEPATA,0,0,1,102,-16.399,-71.5364
HUANCARANI,0,0,1,102,-16.399,-71.5364
KOSÑIPATA,0,0,1,102,-16.399,-71.5364
URCOS,0,0,1,103,-16.399,-71.5364
ANDAHUAYLILLAS,0,0,1,103,-16.399,-71.5364
CAMANTI,0,0,1,103,-16.399,-71.5364
CCARHUAYO,0,0,1,103,-16.399,-71.5364
CCATCA,0,0,1,103,-16.399,-71.5364
CUSIPATA,0,0,1,103,-16.399,-71.5364
HUARO,0,0,1,103,-16.399,-71.5364
LUCRE,0,0,1,103,-16.399,-71.5364
MARCAPATA,0,0,1,103,-16.399,-71.5364
OCONGATE,0,0,1,103,-16.399,-71.5364
OROPESA,0,0,1,103,-16.399,-71.5364
QUIQUIJANA,0,0,1,103,-16.399,-71.5364
URUBAMBA,0,0,1,104,-16.399,-71.5364
